year,company,loc,lon,lat,technology,mult,n,dist,exp,expuni,expassoc,expprof,nexpuni,nexpassoc,nexpprof,univ_eigen,univ_ndegree,univ_degree,univ_close,univ_harm,univ_between,assoc_eigen,assoc_ndegree,assoc_degree,assoc_close,assoc_harm,assoc_between,prof_eigen,prof_ndegree,prof_degree,prof_close,prof_harm,prof_between,tech_eigen,tech_ndegree,tech_degree,tech_close,tech_harm,tech_between,country,tipo,code,empire,commonw,v2x_corr,v2xcl_prpty,statecap_baseline,statecap_base_fiscal,statecap_base_fiscal_edu,c_base,c_fiscal,c_comp,v2svstterr,v2stfisccap,v2x_rule
1912,Burbank Main Lode Limited,western,-95.7127622,37.0937489,cyanid,1,10,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0.06512410373025117,0.012048192771084338,1,0.3487394957983193,0.39457831325301207,0,0.06353937471985918,0.00909090909090909,1,0.32238805970149254,0.35833333333333334,0,0.012929333497384518,0.02875399361022364,9,0.2720379146919431,0.30447687740020063,0.05148510033317646,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1915,Burbank Main Lode Limited,western,-95.7127622,37.0937489,cyanid,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.761553186741207e-18,0.002840909090909091,1,1,0.002840909090909091,0,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1914,Bushtick Mines Limited,rhodesia,-97.2134822,32.8294337,cyanid,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.079,0.581,1,2,1,1,2,1,98,3,1
1915,Bushtick Mines Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1916,Bushtick Mines Limited,rhodesia,-97.2134822,32.8294337,cyanid,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1917,Bushtick Mines Limited,rhodesia,-97.2134822,32.8294337,cyanid,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021273583603203524,0.005952380952380952,2,0.2918572735590119,0.3093679138322001,0,united states of america,extraction,USA,0,0,0.07,0.581,1,2,1,1,2,1,98,3,1
1911,Butters Filter Results Not Promises,transvaal,-81.1830974,43.2325617,cyanid,1,9,2.8333329557698393e-4,4,1,1,1,0,0,0,0.14862332532911185,0.013157894736842105,1,0.35096153846153844,0.37719298245614014,0,0.22897564057717587,0.03333333333333333,3,0.47368421052631576,0.4981481481481482,0.006027570700945274,0.2612658469448931,0.03361344537815126,4,0.4311594202898551,0.46778711484593866,0.006229126031130103,0.09431738897424324,0.07251908396946564,19,0.36,0.3551526717557245,0.01904168081842438,canada,extraction,CAN,0,1,0.072,0.61,2,1,1,2,1,1,96,0,1
1911,Butters Filter Results Not Promises,london,-0.1277583,51.5073509,cyanid,1,9,1.0013217677085525e-4,4,1,1,1,0,0,0,0.14862332532911185,0.013157894736842105,1,0.35096153846153844,0.37719298245614014,0,0.22897564057717587,0.03333333333333333,3,0.47368421052631576,0.4981481481481482,0.006027570700945274,0.2612658469448931,0.03361344537815126,4,0.4311594202898551,0.46778711484593866,0.006229126031130103,0.09431738897424324,0.07251908396946564,19,0.36,0.3551526717557245,0.01904168081842438,united kingdom,extraction,GBR,1,1,0.028,0.73,2,2,2,2,2,2,98,3,1
1910,Cabmen Mines Oko,mexico,-102.5528,23.6345,cyanid,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mexico,extraction,MEX,0,0,0.853,0.556,-2,-2,-3,-2,-2,-3,82,0,0
1911,Californian General Mining Limited,california,-119.4179324,36.778261,cyanid,1,3,0.0028944592216440107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1910,Californian Gold Syndicate Limited,california,-119.4179,36.77826,cyanid,1,4,233.1591445976595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1912,Californian Gold Syndicate Limited,california,-119.4179324,36.778261,cyanid,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states of america,extraction,USA,0,0,0.098,0.581,1,2,1,1,2,1,98,3,1
1911,Cam Bird Limited,pachuca,-98.7591311,20.1010608,cyanid,1,5,330.74176870373276,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06519284687234891,0.011111111111111112,1,0.32608695652173914,0.36944444444444446,0,0.05920920951062066,0.008403361344537815,1,0.31151832460732987,0.3478991596638655,0,0,0,0,0,0,0,mexico,extraction,MEX,0,0,0.821,0.556,-2,-2,-3,-2,-2,-3,70,0,0
1915,Cambrian Mineral And Metal Limited,pachuca,-98.7591311,20.1010608,cyanid,1,12,0,4,2,1,1,0,1,0,0.11743236916464053,0.016129032258064516,1,0.3,0.29811827956989256,0,0.17501729054130144,0.024390243902439025,2,0.43617021276595747,0.47154471544715454,0.003479880743511494,0.19408761310526407,0.030612244897959183,3,0.4247787610619469,0.45323129251700706,0.005473508045034724,0.003382947306483896,0.019886363636363636,7,0.2889288928892889,0.2924512987012989,0.016002603490434367,mexico,extraction,MEX,0,0,0.774,0.561,-3,-3,-3,-3,-3,-3,70,0,0
